(39.9057136, 116.3912972)
(31.2323437, 121.4691024)
(39.3032619, 117.4163641)
(30.05518, 107.8748712)
(45.7593633, 126.6276177)
(43.9088384, 125.3177297)
(41.8026095, 123.4279105)
(40.8304267, 111.6587169)
(38.0429742, 114.5088385)
(37.870009, 112.5452739)
(34.261004, 108.9423363)
(36.6705337, 116.985375)
(43.419754, 87.319461)
(29.6553895, 91.1704736)
(36.824463, 101.440811)
(36.474436, 103.733224)
(38.4852037, 106.2261926)
(34.7533392, 113.6599983)
(32.0438284, 118.7788631)
(30.5951051, 114.2999353)
(30.2489634, 120.2052342)
(31.8665676, 117.281428)
(26.0774954, 119.2918215)
(28.6472124, 116.0348483)
(28.1450774, 113.2384362)
(26.559901, 106.6987409)
(30.7001324, 104.0708278)
(23.1301964, 113.2592945)
(25.0363006, 102.7086139)
(22.8193063, 108.3627211)
(22.5445741, 114.0545429)
