2020-06-13,优,47,254,27,50,4,43,0.67,42
2020-06-14,良,56,310,30,60,5,43,0.62,67
2020-06-15,良,77,343,48,88,7,36,0.73,103
2020-06-16,优,43,260,26,42,3,21,0.61,69
2020-06-17,优,21,69,11,20,3,26,0.68,52
2020-06-18,优,30,163,12,28,3,28,0.56,73
2020-06-19,良,59,315,30,52,5,39,0.74,93
2020-06-20,优,47,221,31,49,4,25,0.71,63
2020-06-21,优,49,271,34,46,3,32,0.79,41
2020-06-22,优,35,200,23,34,3,27,0.80,57
2020-06-23,优,41,260,16,29,3,29,0.72,83
2020-06-24,优,50,289,22,40,5,29,0.69,86
2020-06-25,良,68,351,31,49,5,22,0.73,134
2020-06-26,优,34,185,19,30,3,17,0.68,82
2020-06-27,优,32,197,12,21,3,18,0.61,87
2020-06-28,优,40,252,14,30,4,27,0.74,86
2020-06-29,良,60,344,27,49,3,42,0.88,92
2020-06-30,良,53,312,25,43,3,25,0.76,106
2020-07-01,优,25,61,12,22,3,18,0.56,65
2020-07-02,良,63,343,21,42,4,34,0.61,102
2020-07-03,优,45,274,22,41,4,25,0.60,103
2020-07-04,优,36,183,25,32,3,20,0.63,81
2020-07-05,优,41,246,24,35,4,25,0.67,73
2020-07-06,优,46,266,26,38,3,24,0.68,86
2020-07-07,优,45,266,30,45,4,30,0.76,70
2020-07-08,良,60,308,40,56,3,31,0.85,81
2020-07-09,优,38,184,22,33,3,31,0.73,72
2020-07-10,优,38,177,23,37,4,31,0.67,44
2020-07-11,优,24,77,4,8,3,10,0.54,77
2020-07-12,优,30,149,12,24,4,25,0.70,71
2020-07-13,优,44,300,21,36,7,30,0.76,81
2020-07-14,优,46,246,31,44,4,21,0.78,76
2020-07-15,优,18,20,7,14,4,15,0.66,51
2020-07-16,优,18,27,11,18,3,20,0.68,36
2020-07-17,优,31,138,12,22,4,26,0.65,70
2020-07-18,优,37,220,19,35,4,41,0.76,38
2020-07-19,优,45,304,16,33,4,36,0.60,72
2020-07-20,良,52,294,28,57,5,54,0.68,52
